description,industry,level,size,line_code,value
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,"Electricity, gas, water, & waste services",1,total,D0204_02,33
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Construction,1,total,D0204_02,1176
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Wholesale trade,1,total,D0204_02,708
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Machinery & equipment wholesaling,2,total,D0204_02,195
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Other wholesale trade,2,total,D0204_02,513
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Retail trade,1,total,D0204_02,1080
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Accommodation & food services,1,total,D0204_02,1371
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,"Transport, postal, & warehousing",1,total,D0204_02,465
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Information media & telecommunications,1,total,D0204_02,87
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Publishing,2,total,D0204_02,42
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Motion picture,2,total,D0204_02,27
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Telecommunications,2,total,D0204_02,15
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Financial & insurance services,1,total,D0204_02,156
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Finance,2,total,D0204_02,60
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Insurance,2,total,D0204_02,9
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Auxiliary,2,total,D0204_02,87
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,"Rental, hiring, & real estate services",1,total,D0204_02,318
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,"Professional, scientific, & technical services",1,total,D0204_02,1083
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Computer systems design,2,total,D0204_02,237
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Other professional scientific,2,total,D0204_02,849
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Administrative & support services,1,total,D0204_02,402
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Education & training,1,total,D0204_02,108
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Health care & social assistance,1,total,D0204_02,486
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Arts & recreation services,1,total,D0204_02,126
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,Other services,1,total,D0204_02,357
Business plans for reviews of systems and processes for managing the main risks and hazards - introduced in the last two years,total,0,total,D0204_02,9933
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,total,0,6–19 employees,D0204_03,3069
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,total,0,20–49 employees,D0204_03,591
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,total,0,50–99 employees,D0204_03,120
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,total,0,100+ employees,D0204_03,66
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,"Agriculture, forestry, & fishing",1,total,D0204_03,354
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Agriculture,2,total,D0204_03,294
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Commercial fishing,2,total,D0204_03,6
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Forestry & logging,2,total,D0204_03,0
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,"Agriculture, forestry, & fishing support services",2,total,D0204_03,57
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Mining,1,total,D0204_03,6
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Manufacturing,1,total,D0204_03,414
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,"Food, beverage, & tobacco",2,total,D0204_03,114
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,"Textile, clothing, footwear, & leather",2,total,D0204_03,33
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Wood & paper product,2,total,D0204_03,15
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,"Printing, publishing, & recorded media",2,total,D0204_03,39
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,"Petroleum, coal, chemical, & associated product",2,total,D0204_03,27
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Non-metallic mineral product,2,total,D0204_03,18
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Metal product,2,total,D0204_03,57
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Transport and industrial machinery & equipment,2,total,D0204_03,66
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Other machinery & equipment,2,total,D0204_03,24
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Other manufacturing,2,total,D0204_03,18
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,"Electricity, gas, water, & waste services",1,total,D0204_03,9
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Construction,1,total,D0204_03,327
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Wholesale trade,1,total,D0204_03,231
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Machinery & equipment wholesaling,2,total,D0204_03,57
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Other wholesale trade,2,total,D0204_03,174
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Retail trade,1,total,D0204_03,585
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Accommodation & food services,1,total,D0204_03,828
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,"Transport, postal, & warehousing",1,total,D0204_03,126
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Information media & telecommunications,1,total,D0204_03,48
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Publishing,2,total,D0204_03,15
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Motion picture,2,total,D0204_03,21
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Telecommunications,2,total,D0204_03,12
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Financial & insurance services,1,total,D0204_03,48
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Finance,2,total,D0204_03,15
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Insurance,2,total,D0204_03,0
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Auxiliary,2,total,D0204_03,36
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,"Rental, hiring, & real estate services",1,total,D0204_03,81
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,"Professional, scientific, & technical services",1,total,D0204_03,417
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Computer systems design,2,total,D0204_03,96
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Other professional scientific,2,total,D0204_03,324
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Administrative & support services,1,total,D0204_03,78
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Education & training,1,total,D0204_03,96
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Health care & social assistance,1,total,D0204_03,60
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Arts & recreation services,1,total,D0204_03,24
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,Other services,1,total,D0204_03,108
Business plans for reviews of systems and processes for managing the main risks and hazards - currently being introduced,total,0,total,D0204_03,3846
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,total,0,6–19 employees,D0204_04,1050
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,total,0,20–49 employees,D0204_04,192
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,total,0,50–99 employees,D0204_04,24
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,total,0,100+ employees,D0204_04,3
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,"Agriculture, forestry, & fishing",1,total,D0204_04,39
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Agriculture,2,total,D0204_04,30
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Commercial fishing,2,total,D0204_04,0
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Forestry & logging,2,total,D0204_04,0
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,"Agriculture, forestry, & fishing support services",2,total,D0204_04,9
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Mining,1,total,D0204_04,0
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Manufacturing,1,total,D0204_04,168
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,"Food, beverage, & tobacco",2,total,D0204_04,33
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,"Textile, clothing, footwear, & leather",2,total,D0204_04,18
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Wood & paper product,2,total,D0204_04,18
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,"Printing, publishing, & recorded media",2,total,D0204_04,15
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,"Petroleum, coal, chemical, & associated product",2,total,D0204_04,18
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Non-metallic mineral product,2,total,D0204_04,3
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Metal product,2,total,D0204_04,33
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Transport and industrial machinery & equipment,2,total,D0204_04,18
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Other machinery & equipment,2,total,D0204_04,12
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Other manufacturing,2,total,D0204_04,3
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,"Electricity, gas, water, & waste services",1,total,D0204_04,3
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Construction,1,total,D0204_04,42
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Wholesale trade,1,total,D0204_04,171
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Machinery & equipment wholesaling,2,total,D0204_04,15
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Other wholesale trade,2,total,D0204_04,156
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Retail trade,1,total,D0204_04,150
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Accommodation & food services,1,total,D0204_04,216
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,"Transport, postal, & warehousing",1,total,D0204_04,27
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Information media & telecommunications,1,total,D0204_04,18
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Publishing,2,total,D0204_04,0
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Motion picture,2,total,D0204_04,9
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Telecommunications,2,total,D0204_04,6
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Financial & insurance services,1,total,D0204_04,15
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Finance,2,total,D0204_04,6
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Insurance,2,total,D0204_04,3
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Auxiliary,2,total,D0204_04,6
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,"Rental, hiring, & real estate services",1,total,D0204_04,0
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,"Professional, scientific, & technical services",1,total,D0204_04,318
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Computer systems design,2,total,D0204_04,42
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Other professional scientific,2,total,D0204_04,279
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Administrative & support services,1,total,D0204_04,33
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Education & training,1,total,D0204_04,6
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Health care & social assistance,1,total,D0204_04,45
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Arts & recreation services,1,total,D0204_04,3
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,Other services,1,total,D0204_04,12
Business plans for reviews of systems and processes for managing the main risks and hazards - plan to introduce in the next two years,total,0,total,D0204_04,1272
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,total,0,6–19 employees,D0204_05,1356
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,total,0,20–49 employees,D0204_05,114
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,total,0,50–99 employees,D0204_05,18
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,total,0,100+ employees,D0204_05,3
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,"Agriculture, forestry, & fishing",1,total,D0204_05,36
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Agriculture,2,total,D0204_05,21
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Commercial fishing,2,total,D0204_05,0
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Forestry & logging,2,total,D0204_05,0
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,"Agriculture, forestry, & fishing support services",2,total,D0204_05,18
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Mining,1,total,D0204_05,0
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Manufacturing,1,total,D0204_05,54
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,"Food, beverage, & tobacco",2,total,D0204_05,12
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,"Textile, clothing, footwear, & leather",2,total,D0204_05,6
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Wood & paper product,2,total,D0204_05,9
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,"Printing, publishing, & recorded media",2,total,D0204_05,3
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,"Petroleum, coal, chemical, & associated product",2,total,D0204_05,3
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Non-metallic mineral product,2,total,D0204_05,0
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Metal product,2,total,D0204_05,12
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Transport and industrial machinery & equipment,2,total,D0204_05,0
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Other machinery & equipment,2,total,D0204_05,6
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Other manufacturing,2,total,D0204_05,3
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,"Electricity, gas, water, & waste services",1,total,D0204_05,3
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Construction,1,total,D0204_05,81
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Wholesale trade,1,total,D0204_05,150
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Machinery & equipment wholesaling,2,total,D0204_05,60
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Other wholesale trade,2,total,D0204_05,87
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Retail trade,1,total,D0204_05,324
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Accommodation & food services,1,total,D0204_05,282
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,"Transport, postal, & warehousing",1,total,D0204_05,6
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Information media & telecommunications,1,total,D0204_05,18
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Publishing,2,total,D0204_05,9
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Motion picture,2,total,D0204_05,0
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Telecommunications,2,total,D0204_05,3
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Financial & insurance services,1,total,D0204_05,27
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Finance,2,total,D0204_05,9
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Insurance,2,total,D0204_05,3
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Auxiliary,2,total,D0204_05,18
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,"Rental, hiring, & real estate services",1,total,D0204_05,33
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,"Professional, scientific, & technical services",1,total,D0204_05,375
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Computer systems design,2,total,D0204_05,90
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Other professional scientific,2,total,D0204_05,288
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Administrative & support services,1,total,D0204_05,27
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Education & training,1,total,D0204_05,39
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Health care & social assistance,1,total,D0204_05,9
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Arts & recreation services,1,total,D0204_05,18
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,Other services,1,total,D0204_05,0
Business plans for reviews of systems and processes for managing the main risks and hazards - no plan to introduce,total,0,total,D0204_05,1494
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,total,0,6–19 employees,D0204_06,1413
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,total,0,20–49 employees,D0204_06,216
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,total,0,50–99 employees,D0204_06,36
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,total,0,100+ employees,D0204_06,27
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,"Agriculture, forestry, & fishing",1,total,D0204_06,87
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Agriculture,2,total,D0204_06,63
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Commercial fishing,2,total,D0204_06,0
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Forestry & logging,2,total,D0204_06,3
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,"Agriculture, forestry, & fishing support services",2,total,D0204_06,21
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Mining,1,total,D0204_06,3
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Manufacturing,1,total,D0204_06,111
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,"Food, beverage, & tobacco",2,total,D0204_06,51
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,"Textile, clothing, footwear, & leather",2,total,D0204_06,9
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Wood & paper product,2,total,D0204_06,9
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,"Printing, publishing, & recorded media",2,total,D0204_06,18
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,"Petroleum, coal, chemical, & associated product",2,total,D0204_06,9
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Non-metallic mineral product,2,total,D0204_06,3
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Metal product,2,total,D0204_06,0
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Transport and industrial machinery & equipment,2,total,D0204_06,0
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Other machinery & equipment,2,total,D0204_06,3
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Other manufacturing,2,total,D0204_06,12
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,"Electricity, gas, water, & waste services",1,total,D0204_06,3
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Construction,1,total,D0204_06,18
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Wholesale trade,1,total,D0204_06,84
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Machinery & equipment wholesaling,2,total,D0204_06,18
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Other wholesale trade,2,total,D0204_06,63
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Retail trade,1,total,D0204_06,339
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Accommodation & food services,1,total,D0204_06,687
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,"Transport, postal, & warehousing",1,total,D0204_06,12
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Information media & telecommunications,1,total,D0204_06,27
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Publishing,2,total,D0204_06,9
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Motion picture,2,total,D0204_06,15
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Telecommunications,2,total,D0204_06,0
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Financial & insurance services,1,total,D0204_06,33
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Finance,2,total,D0204_06,12
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Insurance,2,total,D0204_06,0
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Auxiliary,2,total,D0204_06,24
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,"Rental, hiring, & real estate services",1,total,D0204_06,15
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,"Professional, scientific, & technical services",1,total,D0204_06,96
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Computer systems design,2,total,D0204_06,48
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Other professional scientific,2,total,D0204_06,51
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Administrative & support services,1,total,D0204_06,93
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Education & training,1,total,D0204_06,24
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Health care & social assistance,1,total,D0204_06,33
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Arts & recreation services,1,total,D0204_06,0
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,Other services,1,total,D0204_06,36
Business plans for reviews of systems and processes for managing the main risks and hazards - don't know,total,0,total,D0204_06,1695
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,total,0,6–19 employees,D0205_01,16596
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,total,0,20–49 employees,D0205_01,4635
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,total,0,50–99 employees,D0205_01,1527
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,total,0,100+ employees,D0205_01,1416
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,"Agriculture, forestry, & fishing",1,total,D0205_01,2178
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Agriculture,2,total,D0205_01,1335
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Commercial fishing,2,total,D0205_01,36
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Forestry & logging,2,total,D0205_01,219
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,"Agriculture, forestry, & fishing support services",2,total,D0205_01,588
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Mining,1,total,D0205_01,81
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Manufacturing,1,total,D0205_01,3402
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,"Food, beverage, & tobacco",2,total,D0205_01,687
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,"Textile, clothing, footwear, & leather",2,total,D0205_01,156
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Wood & paper product,2,total,D0205_01,375
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,"Printing, publishing, & recorded media",2,total,D0205_01,114
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,"Petroleum, coal, chemical, & associated product",2,total,D0205_01,288
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Non-metallic mineral product,2,total,D0205_01,123
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Metal product,2,total,D0205_01,648
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Transport and industrial machinery & equipment,2,total,D0205_01,630
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Other machinery & equipment,2,total,D0205_01,153
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Other manufacturing,2,total,D0205_01,228
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,"Electricity, gas, water, & waste services",1,total,D0205_01,99
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Construction,1,total,D0205_01,3432
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Wholesale trade,1,total,D0205_01,1926
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Machinery & equipment wholesaling,2,total,D0205_01,630
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Other wholesale trade,2,total,D0205_01,1293
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Retail trade,1,total,D0205_01,2214
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Accommodation & food services,1,total,D0205_01,2244
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,"Transport, postal, & warehousing",1,total,D0205_01,972
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Information media & telecommunications,1,total,D0205_01,186
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Publishing,2,total,D0205_01,54
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Motion picture,2,total,D0205_01,57
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Telecommunications,2,total,D0205_01,72
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Financial & insurance services,1,total,D0205_01,306
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Finance,2,total,D0205_01,111
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Insurance,2,total,D0205_01,24
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Auxiliary,2,total,D0205_01,174
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,"Rental, hiring, & real estate services",1,total,D0205_01,567
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,"Professional, scientific, & technical services",1,total,D0205_01,2049
Business plans for involving workers in decisions that affect their health and safety - been doing practice for at least two years,Computer systems design,2,total,D0205_01,294
